,Layers,Max_Nodes,Shape,Recall_Train,Precision_Train,Recall_Validation,Precision_Validation
0,1,8,triangle,0.39508444398641585,0.7046952654421329,0.3557112976908684,0.6791073346138
1,1,8,uniform,0.2891377773880959,0.6746331179141998,0.25730125553905964,0.6602566736936569
2,1,16,triangle,0.3965866670757532,0.7280003294348717,0.35575313980691137,0.7092411452531815
3,1,16,uniform,0.4071822211146355,0.7263271050155162,0.36918410050682726,0.7167473167181015
4,1,32,triangle,0.45130666822195054,0.7446956825256348,0.3937029283493757,0.7033733928203583
5,1,32,uniform,0.45662222176790235,0.739302878677845,0.4069246856868267,0.7110536244511604
6,1,64,triangle,0.47049777932465076,0.7571076630055904,0.4140167388319969,0.7026672804355621
7,1,64,uniform,0.4698222229629755,0.7574493703246117,0.41125522993505004,0.7101831233501434
8,1,128,triangle,0.48810666758567095,0.7606923425197601,0.425941421687603,0.7037199020385743
9,1,128,uniform,0.49064888812601565,0.7641828812658786,0.42297071393579244,0.6978260987997055
10,2,8,triangle,0.3754399989545345,0.7043751952052116,0.3390376564860344,0.7165204307436943
11,2,8,uniform,0.3446044445037842,0.6977641168236732,0.30458158895373344,0.7053134913742543
12,2,16,triangle,0.4325955568253994,0.7313679051399231,0.3839958158135414,0.7042563420534134
13,2,16,uniform,0.4299822226166725,0.7219128446280956,0.39098326545208695,0.7117951017618179
14,2,32,triangle,0.45636444456875325,0.7431773555278778,0.40740585938096047,0.7079957020282746
15,2,32,uniform,0.4516000021994114,0.7480002373456955,0.3964853572845459,0.7147345846891403
16,2,64,triangle,0.48274666771292685,0.7515295261144638,0.4238493725657463,0.7008529251813889
17,2,64,uniform,0.4849600011855364,0.7541002541780472,0.42589958138763906,0.7094534134864807
18,2,128,triangle,0.5111377818882465,0.7611706453561783,0.44841004118323324,0.6945404976606369
19,2,128,uniform,0.5161511144042015,0.7647597476840019,0.4396652728319168,0.6910377931594849
20,3,8,triangle,0.366080000847578,0.7182355451583863,0.3362970725959167,0.7330896520614624
21,3,8,uniform,0.36984888889594003,0.7038262775540352,0.33263598329853267,0.6706968748569488
22,3,16,triangle,0.39926222316920756,0.7210725998878479,0.3585564852878451,0.7171142262220382
23,3,16,uniform,0.4343822219967842,0.726665323972702,0.3859414242580533,0.7100600370764732
24,3,32,triangle,0.46686222329735755,0.7479785671830177,0.4171548141539097,0.7194208949804306
25,3,32,uniform,0.45112888984382155,0.7469233188033104,0.39069037809967994,0.7169766533374786
26,3,64,triangle,0.4890488912165165,0.7560232129693031,0.4268828459084034,0.7044697177410125
27,3,64,uniform,0.4891111095249653,0.7537235677242279,0.4192468622326851,0.7083547115325928
28,3,128,triangle,0.5263466660678386,0.7645709776878357,0.45612970799207686,0.6964377033710479
29,3,128,uniform,0.5213777759671211,0.7642049902677536,0.4429916310310364,0.6865523666143417
30,4,8,triangle,0.34259555611759424,0.7206803086400032,0.32663179884664717,0.722774230837822
31,4,8,uniform,0.3651199998520315,0.7133747224509716,0.3319874471053481,0.7096191948652267
32,4,16,triangle,0.40332444399595263,0.7343579585850238,0.35958159021334724,0.7296203660964966
33,4,16,uniform,0.42687110997736455,0.7316808566451073,0.38315899605862797,0.7154204970598221
34,4,32,triangle,0.44581333324313166,0.7385414835810661,0.3860878682881594,0.7211417406797409
35,4,32,uniform,0.4643822215497494,0.7457527297735215,0.4196234315633774,0.7208663195371627
36,4,64,triangle,0.4910844446718693,0.761685985326767,0.4230753140151501,0.703270074725151
37,4,64,uniform,0.49190222412347795,0.7577375710010529,0.4289330548048019,0.7130702447891235
38,4,128,triangle,0.5148177804052829,0.7643087235093117,0.4353138077259064,0.7019013088941574
39,4,128,uniform,0.5159111104905605,0.7640314918756484,0.42956067115068436,0.7011221462488174
