,Layers,Max_Nodes,Shape,Recall_Train,Accuracy_Train,Precision_Train,Recall_Validation,Accuracy_Validation,Precision_Validation
0,1,8,triangle,0.843660197854042,0.8270718228816986,0.8170276778936386,0.8491729313135147,0.8337200665473938,0.8181569480895996
1,1,8,uniform,0.8416360765695572,0.8320547235012055,0.8249586516618729,0.8499498695135117,0.8346654343605041,0.8183441609144211
2,1,16,triangle,0.8529575255513191,0.840360432267189,0.8319712245464325,0.8534085202217102,0.8377102530002594,0.8218943858146668
3,1,16,uniform,0.856885159611702,0.840784004330635,0.8306885313987732,0.8564160376787185,0.8372130113840103,0.8195027220249176
4,1,32,triangle,0.8658416384458542,0.8501078677177429,0.8399750751256942,0.8576441103219986,0.8422651916742325,0.82674919962883
5,1,32,uniform,0.8598793929815293,0.8475690621137619,0.8393156057596207,0.8499624043703079,0.8366421115398407,0.8223088723421097
6,1,64,triangle,0.8707131642103195,0.8582767671346665,0.8501386302709579,0.8523308259248733,0.8380417424440384,0.8234463548660278
7,1,64,uniform,0.8745883572101593,0.8596632480621338,0.8497393268346787,0.8572431063652038,0.8409637850522995,0.8251267910003662
8,1,128,triangle,0.8813843703269959,0.8674190980195999,0.8580829560756683,0.8592731773853302,0.839232656955719,0.8210803419351578
9,1,128,uniform,0.8802149957418441,0.8660799765586853,0.8566068798303604,0.8533709269762039,0.8376365917921066,0.8221246582269669
10,2,8,triangle,0.8488096490502357,0.8275953674316406,0.8142374897003174,0.8536090219020843,0.8320135116577149,0.8130397439002991
11,2,8,uniform,0.8554116427898407,0.8304998672008514,0.8150866937637329,0.8466040068864822,0.8291590023040771,0.812209638953209
12,2,16,triangle,0.8607918214797974,0.8375637996196746,0.8237292248010636,0.860263152718544,0.8395273190736771,0.8206481540203094
13,2,16,uniform,0.8623859483003616,0.8402762413024902,0.8258808517456054,0.859323308467865,0.8363965618610382,0.8161935925483703
14,2,32,triangle,0.8656109082698822,0.8477006042003632,0.8364297884702683,0.8586591470241547,0.842007367014885,0.8259283435344696
15,2,32,uniform,0.8658835846185684,0.8499000245332717,0.8396244442462921,0.8568421059846878,0.8395211768150329,0.8229856890439987
16,2,64,triangle,0.8752490842342376,0.8602446728944778,0.8504599392414093,0.860563907623291,0.8394782096147537,0.8208180403709412
17,2,64,uniform,0.8741636067628861,0.859586951136589,0.8499202042818069,0.8579072684049607,0.8374033147096633,0.8191225481033325
18,2,128,triangle,0.8835867857933044,0.8703630620241165,0.8614811271429061,0.8569423520565033,0.8345733594894409,0.8151705938577652
19,2,128,uniform,0.8847981089353562,0.8713075506687165,0.8621680283546448,0.858746867775917,0.8350890129804611,0.8151797765493393
20,3,8,triangle,0.8418982708454132,0.8126545637845993,0.7951026979088783,0.8497493726015091,0.8272989502549172,0.8076573267579079
21,3,8,uniform,0.8580755090713501,0.8259721094369888,0.8064299434423446,0.8590852111577988,0.831442603468895,0.8083262729644776
22,3,16,triangle,0.8610435199737548,0.8401157605648041,0.8267934864759445,0.8601127827167511,0.8391467130184174,0.8199608391523361
23,3,16,uniform,0.8607131570577622,0.8398158380389213,0.8269841435551644,0.859761900305748,0.8386985856294632,0.8204048001766204
24,3,32,triangle,0.8673151534795761,0.8475453835725785,0.8346431362628937,0.8579573917388916,0.8397360330820084,0.8226746368408203
25,3,32,uniform,0.8691924494504929,0.8484767138957977,0.8352375930547714,0.8675563907623292,0.8407550650835037,0.8183935123682022
26,3,64,triangle,0.8738384902477264,0.858618785738945,0.8486092108488082,0.8627067697048187,0.8389257222414017,0.8186351323127746
27,3,64,uniform,0.875878341794014,0.8604314643144607,0.8501853203773498,0.8571303248405456,0.8389380007982254,0.8221476185321808
28,3,128,triangle,0.8827844780683517,0.8692843961715698,0.8602094662189483,0.8532456141710282,0.8338367122411728,0.8163466227054595
29,3,128,uniform,0.8822443610429764,0.8693080735206604,0.8606730043888092,0.8560025042295456,0.8362553739547729,0.8187900763750077
30,4,8,triangle,0.858169903755188,0.8256327295303345,0.8061542272567749,0.8587218075990677,0.8355616986751556,0.8152006018161774
31,4,8,uniform,0.8201468265056611,0.8264535641670228,0.832565957903862,0.83219298183918,0.834260277748108,0.8308920174837112
32,4,16,triangle,0.8585998928546905,0.8389897406101227,0.8268231558799743,0.8557142835855484,0.8392817652225495,0.8230589550733566
33,4,16,uniform,0.8647089648246765,0.8406393057107926,0.825617983341217,0.8588095217943191,0.837526085972786,0.8183928406238556
34,4,32,triangle,0.8624855798482894,0.8454459333419799,0.8348145824670792,0.860651627779007,0.8438551265001297,0.8277152985334396
35,4,32,uniform,0.8688830614089966,0.8507182329893113,0.8389028513431549,0.863822054862976,0.8420135051012039,0.8227325630187988
36,4,64,triangle,0.8754693239927291,0.8591449630260467,0.8483710658550262,0.8574060153961182,0.8379005533456803,0.820390357375145
37,4,64,uniform,0.8746145784854888,0.8596395695209503,0.8498369926214218,0.859561402797699,0.837501540184021,0.8183909833431244
38,4,128,triangle,0.880802309513092,0.8673164939880371,0.858263931274414,0.859323308467865,0.8352977341413498,0.8150128424167633
39,4,128,uniform,0.8827792346477509,0.8694711875915527,0.8605382019281387,0.8546741843223572,0.8354511976242065,0.8180787354707718
